"",ticker,n_eventos,mae_beta,mae_pdr,mse_beta,mse_pdr,rmse_beta,rmse_pdr,melhor_modelo
360,ESS,44,1.106633,1.031276,2.093131,2.007113,1.446766,1.416726,pdr
361,ESSA,44,0.124474,0.125581,0.033760,0.033294,0.183739,0.182466,pdr
362,ET,45,0.146718,0.111643,0.035683,0.023872,0.188898,0.154504,pdr
363,ETD,45,0.150655,0.144685,0.042563,0.043204,0.206307,0.207857,beta_div
364,ETG,134,0.071453,0.064125,0.008628,0.007855,0.092889,0.088626,pdr
365,ETJ,134,0.030671,0.029349,0.001915,0.001763,0.043755,0.041987,pdr
366,ETN,41,4.136346,1.561537,25.076759,15.527540,5.007670,3.940500,pdr
367,ETO,134,0.100224,0.096321,0.017082,0.015895,0.130699,0.126074,pdr
368,ETR,45,0.653661,0.239993,0.461640,0.118425,0.679441,0.344129,pdr
369,ETV,134,0.187528,0.050992,0.039539,0.005356,0.198845,0.073186,pdr
370,ETW,134,0.036670,0.033940,0.002423,0.002241,0.049228,0.047344,pdr
371,ETX,134,0.144962,0.075126,0.049991,0.038117,0.223586,0.195235,pdr
372,ETY,134,0.044724,0.039343,0.004780,0.003843,0.069134,0.061994,pdr
373,EVC,44,0.044724,0.040979,0.004336,0.003329,0.065845,0.057695,pdr
374,EVF,133,0.023473,0.019010,0.000928,0.000640,0.030469,0.025292,pdr
375,EVG,135,0.077839,0.034254,0.008135,0.002408,0.090196,0.049067,pdr
376,EVM,135,0.039632,0.035337,0.003422,0.002958,0.058500,0.054385,pdr
377,EVN,134,0.030633,0.030603,0.001740,0.001735,0.041713,0.041650,pdr
378,EVR,45,0.785292,0.736688,1.494463,1.418781,1.222482,1.191126,pdr
379,EVRG,44,0.293788,0.191669,0.164478,0.132433,0.405559,0.363913,pdr
380,EVT,134,0.100370,0.078325,0.017358,0.011441,0.131751,0.106961,pdr
381,EVTC,41,0.263804,0.245455,0.173937,0.171540,0.417058,0.414173,pdr
382,EVV,134,0.041044,0.035625,0.003190,0.002449,0.056483,0.049490,pdr
383,EWBC,45,0.541954,0.414510,0.467971,0.420599,0.684084,0.648536,pdr
384,EXC,45,0.265141,0.124656,0.093183,0.034926,0.305258,0.186886,pdr
385,EXG,134,0.044800,0.031080,0.003050,0.001964,0.055226,0.044322,pdr
386,EXPO,44,0.385970,0.352551,0.498344,0.497936,0.705935,0.705646,pdr
387,EXR,45,0.737223,0.764746,1.477348,1.470481,1.215462,1.212634,pdr
388,FAF,44,0.264630,0.263788,0.179237,0.179212,0.423364,0.423335,pdr
389,FAST,47,0.194117,0.195675,0.074136,0.073826,0.272280,0.271710,pdr
390,FAX,134,0.167242,0.260447,0.054796,0.115421,0.234085,0.339737,beta_div
391,FBIN,45,0.340195,0.341079,0.252127,0.248307,0.502123,0.498304,pdr
392,FBIZ,45,0.207077,0.200911,0.086725,0.082287,0.294490,0.286857,pdr
393,FBNC,44,0.136661,0.137053,0.034211,0.033815,0.184963,0.183887,pdr
394,FCBC,46,0.152454,0.149020,0.038184,0.040000,0.195407,0.200001,beta_div
395,FCF,45,0.092000,0.086490,0.017691,0.017108,0.133007,0.130799,pdr
396,FCNCA,45,4.087182,4.208358,36.005253,35.720749,6.000438,5.976684,pdr
397,FCO,134,0.043035,0.043035,0.003321,0.003321,0.057627,0.057627,pdr
398,FCT,135,0.038379,0.034595,0.005127,0.005005,0.071606,0.070746,pdr
399,FDP,42,0.201389,0.196874,0.083284,0.079177,0.288589,0.281384,pdr
400,FDS,45,1.255675,1.036644,2.746715,2.246206,1.657322,1.498735,pdr
401,FDUS,47,0.156561,0.135416,0.059434,0.046939,0.243791,0.216653,pdr
402,FDX,44,1.381555,1.332730,6.226219,6.090899,2.495239,2.467975,pdr
403,FE,45,0.624483,0.127583,0.420413,0.031609,0.648392,0.177790,pdr
404,FELE,45,0.296814,0.248208,0.130519,0.097973,0.361275,0.313007,pdr
